ID_1_GP, ID_1_PP, ID_2_GP, ID_2_PP, ID_3_GP, ID_3_PP, ID_4_GP, ID_4_PP, ID_5_GP, ID_5_PP, ID_6_GP, ID_6_PP, ID_7_GP, ID_7_PP, ID_8_GP, ID_8_PP, ID_9_GP, ID_9_PP, ID_10_GP, ID_10_PP, ID_11_GP, ID_11_PP, ID_12_GP, ID_12_PP, ID_13_GP, ID_13_PP, ID_14_GP, ID_14_PP, ID_15_GP, ID_15_PP, ID_16_GP, ID_16_PP, ID_17_GP, ID_17_PP, ID_18_GP, ID_18_PP, ID_19_GP, ID_19_PP, ID_20_GP, ID_20_PP, GyroFB, GyroRL, AccelFB, AccelRL, L_FSR_X, L_FSR_Y, R_FSR_X, R_FSR_Y, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2052, 0, 2044, 0, 1621, 0, 2475, 0, 2686, 0, 1410, 0, 2394, 0, 1702, 0, 2057, 0, 2039, 0, 2048, 0, 2503, 0, 512, 512, 476, 514, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2049, 0, 2040, 0, 1621, 0, 2474, 0, 2685, 0, 1412, 0, 2394, 0, 1703, 0, 2051, 0, 2032, 0, 2048, 0, 2503, 0, 512, 512, 477, 515, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2047, 0, 2037, 0, 1623, 0, 2472, 0, 2681, 0, 1417, 0, 2392, 0, 1705, 0, 2046, 0, 2026, 0, 2048, 0, 2503, 0, 512, 512, 476, 515, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2044, 0, 2034, 0, 1626, 0, 2469, 0, 2674, 0, 1424, 0, 2389, 0, 1708, 0, 2040, 0, 2020, 0, 2048, 0, 2503, 0, 512, 512, 476, 516, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2041, 0, 2031, 0, 1631, 0, 2465, 0, 2666, 0, 1431, 0, 2384, 0, 1712, 0, 2034, 0, 2014, 0, 2048, 0, 2503, 0, 512, 512, 476, 516, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2039, 0, 2028, 0, 1636, 0, 2466, 0, 2654, 0, 1428, 0, 2378, 0, 1711, 0, 2028, 0, 2008, 0, 2048, 0, 2503, 0, 512, 512, 476, 517, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2038, 0, 2024, 0, 1643, 0, 2473, 0, 2641, 0, 1416, 0, 2372, 0, 1704, 0, 2023, 0, 2002, 0, 2048, 0, 2503, 0, 512, 512, 476, 515, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2038, 0, 2021, 0, 1650, 0, 2483, 0, 2626, 0, 1395, 0, 2364, 0, 1694, 0, 2017, 0, 1996, 0, 2048, 0, 2503, 0, 512, 512, 474, 515, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2038, 0, 2017, 0, 1658, 0, 2497, 0, 2609, 0, 1367, 0, 2355, 0, 1679, 0, 2013, 0, 1991, 0, 2048, 0, 2503, 0, 513, 512, 472, 517, 0, 0, 0, 0, 
1498, 0, 2518, 0, 1845, 0, 2248, 0, 2381, 0, 1712, 0, 2048, 0, 2048, 0, 2039, 0, 2013, 0, 1667, 0, 2513, 0, 2591, 0, 1333, 0, 2349, 0, 1659, 0, 2008, 0, 1985, 0, 2048, 0, 2503, 0, 513, 513, 474, 512, 0, 0, 0, 0, 
